technology,title,location,type,experience,english,datetime,views,applicants
Data Base,Str.Middle/Senior Python Developer,"Україна, Польща, Німеччина, Сполучені, Штати",Тільки віддалено,5 років досвіду,Beginner/Elementary,2024-01-09,54,26
SQL,Str.Middle/Senior Python Developer,"Україна, Польща, Німеччина, Сполучені, Штати",Тільки віддалено,5 років досвіду,Beginner/Elementary,2024-01-09,54,26
Django,Str.Middle/Senior Python Developer,"Україна, Польща, Німеччина, Сполучені, Штати",Тільки віддалено,5 років досвіду,Beginner/Elementary,2024-01-09,54,26
Pyramid,Str.Middle/Senior Python Developer,"Україна, Польща, Німеччина, Сполучені, Штати",Тільки віддалено,5 років досвіду,Beginner/Elementary,2024-01-09,54,26
PostgreSQL,Str.Middle/Senior Python Developer,"Україна, Польща, Німеччина, Сполучені, Штати",Тільки віддалено,5 років досвіду,Beginner/Elementary,2024-01-09,54,26
AI,Str.Middle/Senior Python Developer,"Україна, Польща, Німеччина, Сполучені, Штати",Тільки віддалено,5 років досвіду,Beginner/Elementary,2024-01-09,54,26
SQL,Senior Django Developer,Україна,Тільки віддалено,3 роки досвіду,,2024-01-09,59,24
Django,Senior Django Developer,Україна,Тільки віддалено,3 роки досвіду,,2024-01-09,59,24
MySQL,Senior Django Developer,Україна,Тільки віддалено,3 роки досвіду,,2024-01-09,59,24
PostgreSQL,Senior Django Developer,Україна,Тільки віддалено,3 роки досвіду,,2024-01-09,59,24
GIT,Senior Django Developer,Україна,Тільки віддалено,3 роки досвіду,,2024-01-09,59,24
REST,Senior Django Developer,Україна,Тільки віддалено,3 роки досвіду,,2024-01-09,59,24
API,Senior Django Developer,Україна,Тільки віддалено,3 роки досвіду,,2024-01-09,59,24
AI,Senior Django Developer,Україна,Тільки віддалено,3 роки досвіду,,2024-01-09,59,24
Data Base,Automation QA Middle (Python) Engineer,Україна,Office або Remote,3 роки досвіду,Upper-Intermediate,2024-01-09,28,7
GIT,Automation QA Middle (Python) Engineer,Україна,Office або Remote,3 роки досвіду,Upper-Intermediate,2024-01-09,28,7
MongoDB,Automation QA Middle (Python) Engineer,Україна,Office або Remote,3 роки досвіду,Upper-Intermediate,2024-01-09,28,7
docker,Automation QA Middle (Python) Engineer,Україна,Office або Remote,3 роки досвіду,Upper-Intermediate,2024-01-09,28,7
API,Automation QA Middle (Python) Engineer,Україна,Office або Remote,3 роки досвіду,Upper-Intermediate,2024-01-09,28,7
AWS,Automation QA Middle (Python) Engineer,Україна,Office або Remote,3 роки досвіду,Upper-Intermediate,2024-01-09,28,7
AI,Automation QA Middle (Python) Engineer,Україна,Office або Remote,3 роки досвіду,Upper-Intermediate,2024-01-09,28,7
ML,Automation QA Middle (Python) Engineer,Україна,Office або Remote,3 роки досвіду,Upper-Intermediate,2024-01-09,28,7
Data Base,Middle/ Middle+ Back-end Python Developer,Україна,Тільки віддалено,3 роки досвіду,Upper-Intermediate,2024-01-09,60,20
SQL,Middle/ Middle+ Back-end Python Developer,Україна,Тільки віддалено,3 роки досвіду,Upper-Intermediate,2024-01-09,60,20
Django,Middle/ Middle+ Back-end Python Developer,Україна,Тільки віддалено,3 роки досвіду,Upper-Intermediate,2024-01-09,60,20
PostgreSQL,Middle/ Middle+ Back-end Python Developer,Україна,Тільки віддалено,3 роки досвіду,Upper-Intermediate,2024-01-09,60,20
MongoDB,Middle/ Middle+ Back-end Python Developer,Україна,Тільки віддалено,3 роки досвіду,Upper-Intermediate,2024-01-09,60,20
REST,Middle/ Middle+ Back-end Python Developer,Україна,Тільки віддалено,3 роки досвіду,Upper-Intermediate,2024-01-09,60,20
Celery,Middle/ Middle+ Back-end Python Developer,Україна,Тільки віддалено,3 роки досвіду,Upper-Intermediate,2024-01-09,60,20
AI,Middle/ Middle+ Back-end Python Developer,Україна,Тільки віддалено,3 роки досвіду,Upper-Intermediate,2024-01-09,60,20
OOP,Middle/ Middle+ Back-end Python Developer,Україна,Тільки віддалено,3 роки досвіду,Upper-Intermediate,2024-01-09,60,20
Data Base,Python Engineer,"Релокейт, Україна",Гібридна робота,3 роки досвіду,Intermediate,2024-01-09,37,9
Django,Python Engineer,"Релокейт, Україна",Гібридна робота,3 роки досвіду,Intermediate,2024-01-09,37,9
Flask,Python Engineer,"Релокейт, Україна",Гібридна робота,3 роки досвіду,Intermediate,2024-01-09,37,9
GIT,Python Engineer,"Релокейт, Україна",Гібридна робота,3 роки досвіду,Intermediate,2024-01-09,37,9
REST,Python Engineer,"Релокейт, Україна",Гібридна робота,3 роки досвіду,Intermediate,2024-01-09,37,9
DRF,Python Engineer,"Релокейт, Україна",Гібридна робота,3 роки досвіду,Intermediate,2024-01-09,37,9
FastAPI,Python Engineer,"Релокейт, Україна",Гібридна робота,3 роки досвіду,Intermediate,2024-01-09,37,9
RabbitMQ,Python Engineer,"Релокейт, Україна",Гібридна робота,3 роки досвіду,Intermediate,2024-01-09,37,9
API,Python Engineer,"Релокейт, Україна",Гібридна робота,3 роки досвіду,Intermediate,2024-01-09,37,9
AWS,Python Engineer,"Релокейт, Україна",Гібридна робота,3 роки досвіду,Intermediate,2024-01-09,37,9
AI,Python Engineer,"Релокейт, Україна",Гібридна робота,3 роки досвіду,Intermediate,2024-01-09,37,9
ML,Python Engineer,"Релокейт, Україна",Гібридна робота,3 роки досвіду,Intermediate,2024-01-09,37,9
OOP,Python Engineer,"Релокейт, Україна",Гібридна робота,3 роки досвіду,Intermediate,2024-01-09,37,9
JS,Middle Python Developer,Україна,Тільки віддалено,2 роки досвіду,Upper-Intermediate,2024-01-09,103,22
Data Base,Middle Python Developer,Україна,Тільки віддалено,2 роки досвіду,Upper-Intermediate,2024-01-09,103,22
SQL,Middle Python Developer,Україна,Тільки віддалено,2 роки досвіду,Upper-Intermediate,2024-01-09,103,22
Django,Middle Python Developer,Україна,Тільки віддалено,2 роки досвіду,Upper-Intermediate,2024-01-09,103,22
Flask,Middle Python Developer,Україна,Тільки віддалено,2 роки досвіду,Upper-Intermediate,2024-01-09,103,22
ReactJS,Middle Python Developer,Україна,Тільки віддалено,2 роки досвіду,Upper-Intermediate,2024-01-09,103,22
Angular,Middle Python Developer,Україна,Тільки віддалено,2 роки досвіду,Upper-Intermediate,2024-01-09,103,22
VueJS,Middle Python Developer,Україна,Тільки віддалено,2 роки досвіду,Upper-Intermediate,2024-01-09,103,22
docker,Middle Python Developer,Україна,Тільки віддалено,2 роки досвіду,Upper-Intermediate,2024-01-09,103,22
REST,Middle Python Developer,Україна,Тільки віддалено,2 роки досвіду,Upper-Intermediate,2024-01-09,103,22
FastAPI,Middle Python Developer,Україна,Тільки віддалено,2 роки досвіду,Upper-Intermediate,2024-01-09,103,22
NoSQL,Middle Python Developer,Україна,Тільки віддалено,2 роки досвіду,Upper-Intermediate,2024-01-09,103,22
API,Middle Python Developer,Україна,Тільки віддалено,2 роки досвіду,Upper-Intermediate,2024-01-09,103,22
Linux,Middle Python Developer,Україна,Тільки віддалено,2 роки досвіду,Upper-Intermediate,2024-01-09,103,22
AI,Middle Python Developer,Україна,Тільки віддалено,2 роки досвіду,Upper-Intermediate,2024-01-09,103,22
Linux,Junior Python Verification Engineer,Україна,Office або Remote,3 роки досвіду,Intermediate,2024-01-09,48,5
AI,Junior Python Verification Engineer,Україна,Office або Remote,3 роки досвіду,Intermediate,2024-01-09,48,5
ML,Junior Python Verification Engineer,Україна,Office або Remote,3 роки досвіду,Intermediate,2024-01-09,48,5
OOP,Junior Python Verification Engineer,Україна,Office або Remote,3 роки досвіду,Intermediate,2024-01-09,48,5
Networking,Junior Python Verification Engineer,Україна,Office або Remote,3 роки досвіду,Intermediate,2024-01-09,48,5
GIT,QA Automation Engineer,Україна,Office або Remote,3 роки досвіду,Intermediate,2024-01-09,34,5
Linux,QA Automation Engineer,Україна,Office або Remote,3 роки досвіду,Intermediate,2024-01-09,34,5
AI,QA Automation Engineer,Україна,Office або Remote,3 роки досвіду,Intermediate,2024-01-09,34,5
Networking,QA Automation Engineer,Україна,Office або Remote,3 роки досвіду,Intermediate,2024-01-09,34,5
Pytest,QA Automation Engineer,Україна,Office або Remote,3 роки досвіду,Intermediate,2024-01-09,34,5
SQL,Junior Python Developer,Україна,Гібридна робота,1 рік досвіду,Pre-Intermediate,2024-01-09,262,59
MySQL,Junior Python Developer,Україна,Гібридна робота,1 рік досвіду,Pre-Intermediate,2024-01-09,262,59
PostgreSQL,Junior Python Developer,Україна,Гібридна робота,1 рік досвіду,Pre-Intermediate,2024-01-09,262,59
GIT,Junior Python Developer,Україна,Гібридна робота,1 рік досвіду,Pre-Intermediate,2024-01-09,262,59
REST,Junior Python Developer,Україна,Гібридна робота,1 рік досвіду,Pre-Intermediate,2024-01-09,262,59
API,Junior Python Developer,Україна,Гібридна робота,1 рік досвіду,Pre-Intermediate,2024-01-09,262,59
AI,Junior Python Developer,Україна,Гібридна робота,1 рік досвіду,Pre-Intermediate,2024-01-09,262,59
Data Base,Performance engineer (Singapore),Сінгапур,Тільки офіс,5 років досвіду,Upper-Intermediate,2024-01-09,13,2
GIT,Performance engineer (Singapore),Сінгапур,Тільки офіс,5 років досвіду,Upper-Intermediate,2024-01-09,13,2
AWS,Performance engineer (Singapore),Сінгапур,Тільки офіс,5 років досвіду,Upper-Intermediate,2024-01-09,13,2
Linux,Performance engineer (Singapore),Сінгапур,Тільки офіс,5 років досвіду,Upper-Intermediate,2024-01-09,13,2
AI,Performance engineer (Singapore),Сінгапур,Тільки офіс,5 років досвіду,Upper-Intermediate,2024-01-09,13,2
Networking,Performance engineer (Singapore),Сінгапур,Тільки офіс,5 років досвіду,Upper-Intermediate,2024-01-09,13,2
JS,Full-Stack Developer (Python (Django) + React.js),Україна,Тільки віддалено,5 років досвіду,Advanced/Fluent,2024-01-09,19,3
Django,Full-Stack Developer (Python (Django) + React.js),Україна,Тільки віддалено,5 років досвіду,Advanced/Fluent,2024-01-09,19,3
ReactJS,Full-Stack Developer (Python (Django) + React.js),Україна,Тільки віддалено,5 років досвіду,Advanced/Fluent,2024-01-09,19,3
REST,Full-Stack Developer (Python (Django) + React.js),Україна,Тільки віддалено,5 років досвіду,Advanced/Fluent,2024-01-09,19,3
Celery,Full-Stack Developer (Python (Django) + React.js),Україна,Тільки віддалено,5 років досвіду,Advanced/Fluent,2024-01-09,19,3
API,Full-Stack Developer (Python (Django) + React.js),Україна,Тільки віддалено,5 років досвіду,Advanced/Fluent,2024-01-09,19,3
AWS,Full-Stack Developer (Python (Django) + React.js),Україна,Тільки віддалено,5 років досвіду,Advanced/Fluent,2024-01-09,19,3
AI,Full-Stack Developer (Python (Django) + React.js),Україна,Тільки віддалено,5 років досвіду,Advanced/Fluent,2024-01-09,19,3
ML,Full-Stack Developer (Python (Django) + React.js),Україна,Тільки віддалено,5 років досвіду,Advanced/Fluent,2024-01-09,19,3
CSS,Middle Python Software Engineer (Prom.ua),Україна,Office або Remote,3 роки досвіду,,2024-01-08,163,12
JS,Back-End Python (Django) Developer,Україна,Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-08,113,40
Data Base,Back-End Python (Django) Developer,Україна,Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-08,113,40
Data Base,Senior Python Developer_Competency Lead,Україна,Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-09,13,0
JS,Middle Python Software Engineer (Prom.ua),Україна,Office або Remote,3 роки досвіду,,2024-01-08,163,12
Data Base,Middle Python Software Engineer (Prom.ua),Україна,Office або Remote,3 роки досвіду,,2024-01-08,163,12
SQL,Middle Python Software Engineer (Prom.ua),Україна,Office або Remote,3 роки досвіду,,2024-01-08,163,12
ReactJS,Middle Python Software Engineer (Prom.ua),Україна,Office або Remote,3 роки досвіду,,2024-01-08,163,12
PostgreSQL,Middle Python Software Engineer (Prom.ua),Україна,Office або Remote,3 роки досвіду,,2024-01-08,163,12
GIT,Middle Python Software Engineer (Prom.ua),Україна,Office або Remote,3 роки досвіду,,2024-01-08,163,12
MongoDB,Middle Python Software Engineer (Prom.ua),Україна,Office або Remote,3 роки досвіду,,2024-01-08,163,12
NodeJS,Middle Python Software Engineer (Prom.ua),Україна,Office або Remote,3 роки досвіду,,2024-01-08,163,12
Django,Back-End Python (Django) Developer,Україна,Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-08,113,40
ReactJS,Back-End Python (Django) Developer,Україна,Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-08,113,40
Angular,Back-End Python (Django) Developer,Україна,Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-08,113,40
NodeJS,Back-End Python (Django) Developer,Україна,Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-08,113,40
docker,Back-End Python (Django) Developer,Україна,Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-08,113,40
API,Back-End Python (Django) Developer,Україна,Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-08,113,40
AI,Back-End Python (Django) Developer,Україна,Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-08,113,40
ML,Back-End Python (Django) Developer,Україна,Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-08,113,40
SQL,Senior Python Developer_Competency Lead,Україна,Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-09,13,0
Django,Senior Python Developer_Competency Lead,Україна,Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-09,13,0
PostgreSQL,Senior Python Developer_Competency Lead,Україна,Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-09,13,0
MongoDB,Senior Python Developer_Competency Lead,Україна,Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-09,13,0
docker,Senior Python Developer_Competency Lead,Україна,Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-09,13,0
REST,Senior Python Developer_Competency Lead,Україна,Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-09,13,0
DRF,Senior Python Developer_Competency Lead,Україна,Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-09,13,0
NoSQL,Senior Python Developer_Competency Lead,Україна,Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-09,13,0
API,Senior Python Developer_Competency Lead,Україна,Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-09,13,0
AWS,Senior Python Developer_Competency Lead,Україна,Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-09,13,0
Linux,Senior Python Developer_Competency Lead,Україна,Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-09,13,0
AI,Senior Python Developer_Competency Lead,Україна,Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-09,13,0
docker,Middle Python Software Engineer (Prom.ua),Україна,Office або Remote,3 роки досвіду,,2024-01-08,163,12
REST,Middle Python Software Engineer (Prom.ua),Україна,Office або Remote,3 роки досвіду,,2024-01-08,163,12
NoSQL,Middle Python Software Engineer (Prom.ua),Україна,Office або Remote,3 роки досвіду,,2024-01-08,163,12
RabbitMQ,Middle Python Software Engineer (Prom.ua),Україна,Office або Remote,3 роки досвіду,,2024-01-08,163,12
API,Middle Python Software Engineer (Prom.ua),Україна,Office або Remote,3 роки досвіду,,2024-01-08,163,12
AI,Middle Python Software Engineer (Prom.ua),Україна,Office або Remote,3 роки досвіду,,2024-01-08,163,12
OOP,Senior Python Developer_Competency Lead,Україна,Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-09,13,0
JS,Python/Django developer,Україна,Тільки віддалено,1 рік досвіду,Upper-Intermediate,2024-01-09,373,145
Data Base,Python/Django developer,Україна,Тільки віддалено,1 рік досвіду,Upper-Intermediate,2024-01-09,373,145
SQL,Python/Django developer,Україна,Тільки віддалено,1 рік досвіду,Upper-Intermediate,2024-01-09,373,145
Django,Python/Django developer,Україна,Тільки віддалено,1 рік досвіду,Upper-Intermediate,2024-01-09,373,145
ReactJS,Python/Django developer,Україна,Тільки віддалено,1 рік досвіду,Upper-Intermediate,2024-01-09,373,145
PostgreSQL,Python/Django developer,Україна,Тільки віддалено,1 рік досвіду,Upper-Intermediate,2024-01-09,373,145
